,0
0,Georgia
1,Idaho
2,Kentucky
3,Louisiana
4,Maine
5,Minnesota
6,Missouri
7,Montana
8,New Hampshire
9,Rhode Island
10,Tennessee
11,Utah
12,Vermont
13,Virginia
14,West Virginia
15,Wisconsin
16,Wyoming
